"","id","ResourceID","GeoUnit","Geo","Period","Duration","Label1","Label2","Label3","Label4","Label5","Label6","Value","Unit","Measure","Multiplier","NullReason","Status"
"108","d2103335-c4b7-4c6b-a735-f1b61cc63af5","CPWEE1",NA,NA,"2013-01-20","P7D","Total",NA,NA,NA,NA,NA,558,"Number","Registered deaths",0,NA,NA
"109","87d1c10e-7012-4f7c-8eac-4592700094bf","CPWEE1",NA,NA,"2013-01-27","P7D","Total",NA,NA,NA,NA,NA,520,"Number","Registered deaths",0,NA,NA
"110","d42ab7a2-0c28-41eb-8cd6-5644084bd822","CPWEE1",NA,NA,"2013-02-03","P7D","Total",NA,NA,NA,NA,NA,516,"Number","Registered deaths",0,NA,NA
"111","17342df3-29f1-4356-bdd1-39e4da80bc80","CPWEE1",NA,NA,"2013-02-10","P7D","Total",NA,NA,NA,NA,NA,508,"Number","Registered deaths",0,NA,NA
"112","a8cea758-2bac-41d1-9c8c-51786c88c5fd","CPWEE1",NA,NA,"2013-02-17","P7D","Total",NA,NA,NA,NA,NA,506,"Number","Registered deaths",0,NA,NA
"113","6cf86bac-4999-45b3-9010-97d6e6b5924c","CPWEE1",NA,NA,"2013-02-24","P7D","Total",NA,NA,NA,NA,NA,512,"Number","Registered deaths",0,NA,NA
"114","55c1a680-2614-4f6a-acdd-a643041beac7","CPWEE1",NA,NA,"2013-03-03","P7D","Total",NA,NA,NA,NA,NA,499,"Number","Registered deaths",0,NA,NA
"115","1f67f8ab-a144-4cc8-ab04-b43fc6665998","CPWEE1",NA,NA,"2013-03-10","P7D","Total",NA,NA,NA,NA,NA,511,"Number","Registered deaths",0,NA,NA
"116","b1becec6-03a6-4728-87ec-a35f3b8f0431","CPWEE1",NA,NA,"2013-03-17","P7D","Total",NA,NA,NA,NA,NA,530,"Number","Registered deaths",0,NA,NA
"117","f848cf8b-ef96-4ff5-86a0-a56aac61ce4c","CPWEE1",NA,NA,"2013-03-31","P7D","Total",NA,NA,NA,NA,NA,553,"Number","Registered deaths",0,NA,NA
"118","2a2bd7f3-285d-489a-ab25-4714bf19cf14","CPWEE1",NA,NA,"2013-03-24","P7D","Total",NA,NA,NA,NA,NA,565,"Number","Registered deaths",0,NA,NA
"119","315e37d4-8241-402e-8b25-2d290eb468eb","CPWEE1",NA,NA,"2013-04-07","P7D","Total",NA,NA,NA,NA,NA,533,"Number","Registered deaths",0,NA,NA
"120","28d5fc0c-67b5-4a1d-b13a-03bd4fa04d00","CPWEE1",NA,NA,"2013-04-14","P7D","Total",NA,NA,NA,NA,NA,561,"Number","Registered deaths",0,NA,NA
"121","221149be-fabc-4817-a618-2c599cb7d3d7","CPWEE1",NA,NA,"2013-04-28","P7D","Total",NA,NA,NA,NA,NA,568,"Number","Registered deaths",0,NA,NA
"122","28b6f4e1-ddfc-4c40-9c7e-937074219ab4","CPWEE1",NA,NA,"2013-05-12","P7D","Total",NA,NA,NA,NA,NA,539,"Number","Registered deaths",0,NA,NA
"123","291ea382-d23a-4178-943d-d879f7291d14","CPWEE1",NA,NA,"2013-05-19","P7D","Total",NA,NA,NA,NA,NA,565,"Number","Registered deaths",0,NA,NA
"124","4c86aee9-4ae1-4cb5-b257-af0f8b74da21","CPWEE1",NA,NA,"2013-05-26","P7D","Total",NA,NA,NA,NA,NA,579,"Number","Registered deaths",0,NA,NA
"125","3677b166-c1bb-4e53-9de5-a7874216ebc4","CPWEE1",NA,NA,"2013-06-02","P7D","Total",NA,NA,NA,NA,NA,571,"Number","Registered deaths",0,NA,NA
"126","e5967727-ce96-4cd0-8304-74a5539a3b83","CPWEE1",NA,NA,"2013-04-21","P7D","Total",NA,NA,NA,NA,NA,560,"Number","Registered deaths",0,NA,NA
"127","1bf7d563-c542-442a-8f8c-7687cb51276f","CPWEE1",NA,NA,"2013-06-23","P7D","Total",NA,NA,NA,NA,NA,627,"Number","Registered deaths",0,NA,NA
"128","41ed317e-4796-4dc5-828d-83ff19c53b66","CPWEE1",NA,NA,"2013-05-05","P7D","Total",NA,NA,NA,NA,NA,551,"Number","Registered deaths",0,NA,NA
"129","b1db1c8e-9d85-4842-9c85-d6cb405d6ed7","CPWEE1",NA,NA,"2013-07-07","P7D","Total",NA,NA,NA,NA,NA,611,"Number","Registered deaths",0,NA,NA
"130","cbbf7d88-ff0d-4e10-b827-c5509cc01ab7","CPWEE1",NA,NA,"2013-06-09","P7D","Total",NA,NA,NA,NA,NA,572,"Number","Registered deaths",0,NA,NA
"131","38cf591b-9c10-47b0-a857-f5f8aab4b4f0","CPWEE1",NA,NA,"2013-06-16","P7D","Total",NA,NA,NA,NA,NA,548,"Number","Registered deaths",0,NA,NA
"132","d78027eb-062b-4a49-8b9c-5a08443bb782","CPWEE1",NA,NA,"2013-07-14","P7D","Total",NA,NA,NA,NA,NA,653,"Number","Registered deaths",0,NA,NA
"133","7de5d649-af28-4502-8a7b-fdaf02bd7488","CPWEE1",NA,NA,"2013-06-30","P7D","Total",NA,NA,NA,NA,NA,557,"Number","Registered deaths",0,NA,NA
"134","b70544a3-eeb9-45c6-8676-255a9eec03f0","CPWEE1",NA,NA,"2013-07-28","P7D","Total",NA,NA,NA,NA,NA,597,"Number","Registered deaths",0,NA,NA
"135","0992bfc7-34c5-432b-ad47-59056205614f","CPWEE1",NA,NA,"2013-07-21","P7D","Total",NA,NA,NA,NA,NA,642,"Number","Registered deaths",0,NA,NA
"136","aa51ebb1-ae8a-478e-aeda-4694cf9820a4","CPWEE1",NA,NA,"2013-08-04","P7D","Total",NA,NA,NA,NA,NA,593,"Number","Registered deaths",0,NA,NA
"137","4de58795-e53e-44ca-b76f-f990ff1ef171","CPWEE1",NA,NA,"2013-08-11","P7D","Total",NA,NA,NA,NA,NA,644,"Number","Registered deaths",0,NA,NA
