"Week","Label1","mean_deaths_per_capita","Period","deaths_per_capita","weekly_pop","Year","weekly_excess_rate","weekly_excess_number"
30,"Under 30",9.56054400872909e-06,2013-07-28,4.95768246786248e-06,1815364.34782609,2013,-4.60286154086661e-06,-8.35587073926909
30,"Under 30",9.56054400872909e-06,2014-07-27,8.67190484281112e-06,1845038.69565217,2014,-8.88639165917968e-07,-1.63957364759072
30,"Under 30",9.56054400872909e-06,2015-07-26,1.00826453908236e-05,1884426.08695652,2015,5.22101382094551e-07,0.983861464455026
30,"Under 30",9.56054400872909e-06,2016-07-24,1.0385017760638e-05,1925851.30434783,2016,8.24473751908894e-07,1.58781385051429
30,"Under 30",9.56054400872909e-06,2017-07-23,7.66275695778332e-06,1957520,2017,-1.89778705094577e-06,-3.71495610796737
30,"Under 30",9.56054400872909e-06,2018-07-29,1.01199405453493e-05,1976296.19565217,2018,5.59396536620208e-07,1.10553324718352
30,"Under 30",9.56054400872909e-06,2019-07-28,9.5523593890512e-06,1989037.39130435,2019,-8.18461967788511e-09,-0.0162795145729188
30,"Under 30",9.56054400872909e-06,2020-07-26,9.47007148603733e-06,2006320.65217391,2020,-9.04725226917569e-08,-0.181516890730745
30,"Under 30",9.56054400872909e-06,2021-07-25,6.55481284118527e-06,1983275.54347826,2021,-3.00573116754382e-06,-5.96119311486002
30,"30 to 59",3.86737937464088e-05,2011-07-24,3.29882345260699e-05,1758202.60869565,2011,-5.68555922033898e-06,-9.99636505309361
30,"30 to 59",3.86737937464088e-05,2012-07-22,3.41299460598461e-05,1757986.95652174,2012,-4.54384768656272e-06,-7.98802496539873
30,"30 to 59",3.86737937464088e-05,2013-07-28,4.59532638287135e-05,1762660.43478261,2013,7.27947008230463e-06,12.8312339002621
30,"30 to 59",3.86737937464088e-05,2014-07-27,4.09401806415368e-05,1783089.34782609,2014,2.26638689512794e-06,4.04117033075526
30,"30 to 59",3.86737937464088e-05,2015-07-26,3.75554612400146e-05,1810655.43478261,2015,-1.11833250639426e-06,-2.02491483059683
30,"30 to 59",3.86737937464088e-05,2016-07-24,4.11982176350055e-05,1844740,2016,2.52442388859664e-06,4.65690572424976
30,"30 to 59",3.86737937464088e-05,2017-07-23,4.09016421743738e-05,1882565,2017,2.22784842796495e-06,4.19406947579184
30,"30 to 59",3.86737937464088e-05,2018-07-29,3.53726291051488e-05,1922390.32608696,2018,-3.30116464126002e-06,-6.34612697117859
30,"30 to 59",3.86737937464088e-05,2019-07-28,3.83410185775015e-05,1956129.56521739,2019,-3.32775168907304e-07,-0.650951346469788
30,"30 to 59",3.86737937464088e-05,2020-07-26,3.89773846435623e-05,2001160.43478261,2020,3.03590897153412e-07,0.607534091743565
30,"30 to 59",3.86737937464088e-05,2021-07-25,3.77055605563598e-05,2015617.82608696,2021,-9.68233190049052e-07,-1.95158807767191
30,"60 to 79",0.000283337627089175,2011-07-24,0.000341350469421989,667935.217391304,2011,5.80128423328138e-05,38.7488204550555
30,"60 to 79",0.000283337627089175,2012-07-22,0.000320726989589466,689059.565217391,2012,3.73893625002904e-05,25.7634978682056
30,"60 to 79",0.000283337627089175,2013-07-28,0.00029780481935658,711875.652173913,2013,1.44671922674052e-05,10.2988419304844
30,"60 to 79",0.000283337627089175,2014-07-27,0.000308738615596179,735249.782608696,2014,2.54009885070035e-05,18.6760712778203
30,"60 to 79",0.000283337627089175,2015-07-26,0.000298857147599998,759560.217391304,2015,1.55195205108233e-05,11.7880103730098
30,"60 to 79",0.000283337627089175,2016-07-24,0.000264952010677832,785047.826086957,2016,-1.83856164113433e-05,-14.4335881949937
30,"60 to 79",0.000283337627089175,2017-07-23,0.000307245250192028,810427.5,2017,2.39076231028531e-05,19.3753952221875
30,"60 to 79",0.000283337627089175,2018-07-29,0.000270379504006017,835862.173913043,2018,-1.2958123083158e-05,-10.8312049301212
30,"60 to 79",0.000283337627089175,2019-07-28,0.00027525422297,864655.217391304,2019,-8.08340411917506e-06,-6.98935754592708
30,"60 to 79",0.000283337627089175,2020-07-26,0.000289169537004755,899126.52173913,2020,5.83190991557966e-06,5.24362487749108
30,"60 to 79",0.000283337627089175,2021-07-25,0.000293877708824146,922152.282608696,2021,1.0540081734971e-05,9.7195604307857
30,"80 and over",0.00238531212312754,2011-07-24,0.00215862951061717,151948.260869565,2011,-0.000226682612510363,-34.4440287403193
30,"80 and over",0.00238531212312754,2012-07-22,0.00253631750104086,154554.782608696,2012,0.000151005377913322,23.3386033561374
